####################################################################
                              LOG FILE                              
####################################################################

01:18   25/02/2020
5.2693:     Cache used /opt/pwscf_cache/e15325c6b0fb2f0f6b069e35f39c6a6bafc867012b8d3965427068b47d320d89f3db6928a36d7b79a0671f338e5e437b0ddae8e4651f9e46e299cdcaadf7fed9.out
6.0533:     Cache used /opt/pwscf_cache/d9bf435d5dac046a55120db1e7786f0c150675d92ff62d73cd60aafa3efdd7605eb88f9f5bdd1342ee8636ffba2befbdc2509750ea15627672d60a35300fa7ae.out
6.5096:     Cache used /opt/pwscf_cache/b6d497aeb46a067ca77929462feb8be36f72a73aae20fb03bcc7622f67e4a532952e1c0ab738e7d401642c3b3c332d7f225f1261ca2feed4cae5de1946098d86.out
6.9777:     Cache used /opt/pwscf_cache/37ee48c907051487ad8c39bd72b999f129db462d12d27bd405ac22a28ea3bb59578fc5fa4272cdd68bd1fba19d9448fc3db12f918f7aa8119f40e4de3012a43e.out
7.4995:     Cache used /opt/pwscf_cache/6f381e718ff1ac9822fb5f490452be0ef2adf84caaed4e6f1c5dfd5cfb575c63b1fb39af622b3484b2910e0ac9bcf749b8ea2d9a5ec6a069e5705eb0442a06e2.out
8.3105:     Cache used /opt/pwscf_cache/3c8b9db5eafd52bcb50bbedc74be314c1e4b4a822956bcde8402109ce32f161b2103c96ef863fb18dc14d18d3cff50c007f3ff14a43543c7d44f30bc336b67cf.out
8.8722:     Cache used /opt/pwscf_cache/fbeab826d509882b21a49519cf6adbe2bead5c28e4cb734f21c9dd468d7d6592fd079f3c4a39c6897245207779dc732ec0c00821ddb23d00a0a981b9ad3ada25.out
9.3901:     Cache used /opt/pwscf_cache/869500285f06edada1284ecd2d4d5ab42afc75ec91f81a81285bad2a0ef089053b3a6084c0a706a89177296a19e6ee2af4049ee7ba0106299f88cc3e329f20e5.out
10.2864:    Cache used /opt/pwscf_cache/9dc5c9bfe76b86417cc703857e6ea67d02f64d000065934b11c4848d22c00e0812f0f5390d1716a9b65b1feff98512902f2fbb190216e852d0854b8c55ff6ece.out
10.8223:    Cache used /opt/pwscf_cache/00f2b18323e325b6c2f9f0850f22d7e852f92fef0d47f5cb1254e258d4c5ca33a58aa2c16a00789724cebaa53599ff87e240460f5801e75c3e9eb02ee33c39bf.out
11.384:     Cache used /opt/pwscf_cache/6cee9d86e38c8c4cf4c2de419a9542fb9fbc56489f06abaa95599c48388e994121198b3ce0a5645a0e38ffe849bd5430cfd3592c70690e337f75137557efc828.out
12.2882:    Cache used /opt/pwscf_cache/9b489a0ac79156ce8f37da6c0b03bac7c05178f6d588b84ef8a4130565897985476876acda1340012eeccb1c2cd60e65189e91e15c20610587981ac6ddf69f1d.out
12.7497:    Cache used /opt/pwscf_cache/46946f3d11f5b17baf16ef30a04a9093150622d67b6344cd89e5259f364337238e076f274d35a434c7a4cf5e4a59f743a3682e8b91ada9e369a071e6416dc650.out
13.1951:    Cache used /opt/pwscf_cache/e45d7b8009c585e1ef293a80b43790b51094fbbdff621c2d5b848b75d44d0a0e305c299a74bf035930342822ccf0e8dd94f2138a91ca9f47f81fda71bf13124e.out
13.6293:    Cache used /opt/pwscf_cache/8b066a1c02e5324301b06e09103cd4e0ae7f2af6109ac0f9ce88378b86b566f9665a5e3291db4868c773d1b09caa8cb9e94490518a74a6b819984a776fee0050.out
14.0801:    Cache used /opt/pwscf_cache/e30df962a20829f68bf0576f16945ca86950fb9fbf33e960bf03f5eb999f15f9bd6c72853a19aae478887b19ce1aeabe71d0e9fd40265cdae39e8d7670b14f4d.out
14.9175:    Cache used /opt/pwscf_cache/918fcb140f5843f3a76a9324d4572ee661d2257f416aa9b7fc7773f535a086763107d73bf699f5c9538f455cbb7c1d5d3adbb27b1d0285e98f4af105ab40b1cb.out
15.1423:    ################################
15.2136:    Ecut Converge Stage 2
15.2833:    steps = 21
15.3532:    ecutwfc = 50.0
15.4407:    ecutrho = 100.0
15.5104:    ################################
15.58:      
15.9579:    Cache used /opt/pwscf_cache/918fcb140f5843f3a76a9324d4572ee661d2257f416aa9b7fc7773f535a086763107d73bf699f5c9538f455cbb7c1d5d3adbb27b1d0285e98f4af105ab40b1cb.out
16.8083:    Cache used /opt/pwscf_cache/93194cd7cb5e02c20d45aa1f16532a8b54b5752bbede861a138711422869c698fd0861ba9dbfa9765419e2816438bbf434ec6fe444a8f88237674391213a65c9.out
17.3365:    Cache used /opt/pwscf_cache/0bbc098ee29777ca96c4421e24845f88e95b895ee8f693c6d87cccb9ffe7ac43b7e92c5e38e7b4809651f4b8f5e8c66545cd556bbdda6f075da150dec9634ea0.out
17.8625:    Cache used /opt/pwscf_cache/647d1bf6d3a08d3b0be8005a85da655b741220fc017a2c2b7ac951b81312aef3b3cea62ac047de5040f10534e0c0b4b99e61df222a61fd520cdd61b3c58af6ff.out
18.3131:    Cache used /opt/pwscf_cache/91b0f80f4ba8bb17c0d35500d19599bdc28b08df2f796093a5447ab92afed49caa10fcba6ebab3d8b4481a74f652d381a8a348643e967a9f018ff3409a67d797.out
18.5024:    ################################
18.8834:    Ecut Converge Stage 3
18.9411:    steps = 5
18.9989:    ecutwfc = 50.0
19.0572:    ecutrho = 100.0
19.1146:    ################################
19.1729:    
20.7974:    Cache used /opt/pwscf_cache/d5301956f0de4d3a9f4c1c76e0bc3eb257bc5f6440d2ca0cd49da1cd429b30ad08cc0b3d8b641c22a36b24b9ae12d4e7694d8338e6ac597ae8fe552220a64d36.out
21.2667:    Cache used /opt/pwscf_cache/7bff1c7c29bd85b7c5aecc56fde9d74b977f7a327d46bd6570abe4e2ef9ce6c10e8e95fbbb1e164058d8967bf2e3a77d8a5fb3fa003a09fbc6d7e726e2c01bc4.out
22.1125:    Cache used /opt/pwscf_cache/2b2b2745f669b07bfe370d1d5a3529415fa7abe66ba9e572a549a2cf73de3f4f61ab398fe57f5b617185a068f751864939c2675951d2dddee54cbb3c243921cb.out
22.6468:    Cache used /opt/pwscf_cache/8395ff1c8ea9858b6839df001c03af6a0c302700f1a847352bc7165278fbd18ce99060b4c7bde8b78efc576780f580810377b8144599dc94b4006ff4acd586a3.out
23.1977:    Cache used /opt/pwscf_cache/d24e6af3d36bd62b1dcce975ae65068b0d3ed93fc50544da972d6e7e80fc2e0d51b270de7c536b697d6529f3c1865c9321ea30e8f7802b809761d4ddcebfeb22.out
23.7497:    Cache used /opt/pwscf_cache/b7e1ffd1f386d40fd4765532cb495423e07ba5205899f0c590410d0013fb7518a3e36e13f33141a12e11a33a527a08903d8d59b7791e070b0ce871512aaea6c0.out
24.6309:    Cache used /opt/pwscf_cache/ecca93650304b8fcf53f9e77aaf319ed284e5b8a79268af3fe31e0b59bc1ee6487310f255b21e41c6d2c9de04577225b0a7c992887f6a4720b50db7d44411006.out
25.0818:    Cache used /opt/pwscf_cache/91f35839c2703bf14c012dd2a536383ea16cede8cbd22ba6155577dac1cd14e2503b671b46ed08b006dfc19430ea0cfa80f6eff634be2948f60c5a81da591c8b.out
25.5391:    Cache used /opt/pwscf_cache/7c34724bd831d4107a9b98a73715960d943ade29a298da7bbbc34a0e2dddd1973eb67ff544f473dc624f98da9cf1de0b01b644cc141a85aeb41a422d2cfc6a85.out
26.0082:    Cache used /opt/pwscf_cache/8a85c5b2dcf5cad559efe445eabc3e67dc8baabc2e120a79a9d308b7738bdc5e22d62ffef4d7cae4385617bafad39d8f0650e115a0ab2d21686cef16c1b27bda.out
26.8226:    Cache used /opt/pwscf_cache/e9fb23413fcb6aeda78500f212763973bbbe4435eb9e7faf43749a277d7959da15d2f980e11dbe2766ab4d69b9a3d5e1d50212662b1c339ce0fcf633b14b78f7.out
27.3571:    Cache used /opt/pwscf_cache/25dc741c21462eed4045ba4912097cab4c12dc35838a46ec20924f5d2840a56497f983cf17b849faa4922a786f1dab3dc4dfc2d55423e8fdb47e4c2e66ca05ec.out
27.909:     Cache used /opt/pwscf_cache/d7db45511580386ddb0445ac4f9b26d03d2da37f8788944cc595d9ddc133ec1aac6ef4dd36b4ba53dc3d6a862e2a93986bb50e3622d2f6d7449344878fd567d3.out
28.7596:    Cache used /opt/pwscf_cache/0093827a4252afe82f6164bdeb9db25610cb5ceb64e82ed1abf438f40192ad30a744f7669e5383a8d6c01a69edf10ff4821f26d7a95604cb7cd91296c4652ae7.out
29.3002:    Cache used /opt/pwscf_cache/f8117b152062bd52c3fee3d5d4d5b16fc7ce8b8dfb32c0e4badbcd4e12fdb199c244eae21bb6e97dd10fa93b32ca8877079b890fa53dd90cf9168e16eaae3ab3.out
29.8614:    Cache used /opt/pwscf_cache/31e394f7ed785b763cf16d4e77751085c1b8a36609bad9a77d6a2d42cf84ace2d84354035e115f939f3aac4a65949a7bf45cb7def75e69e54821970fea445f06.out
30.3185:    Cache used /opt/pwscf_cache/a5e2b48c83bc037582767e161168e3a60a8c2ed6d8c1de96936f3f9d667087f63723d0b6b2e28a0c3c6b9a6f5158ce97336102115cd286e6df5bfac5e6844f07.out
31.132:     Cache used /opt/pwscf_cache/e38ef38ef6a416b1c4d374b882b43ef205d1b8e8e1624a5cee0ba678108cdc81333303eb458c57ff5bff5b9f31148667f375b9fbf93058baf51a00efe7805dc2.out
31.6461:    Cache used /opt/pwscf_cache/8b6c3168eed002db3764885d3263b47fc43ce5ab8020dc3dc622f420d7814c3f5b1e66da71c7bb5645f4311d3872d8db868b109e7856c77f4eda24ce54dd4c7c.out
32.1318:    Cache used /opt/pwscf_cache/e58fc37fd54b274e93cb17fd069c7799649a89a2d05529e980812ecfdd6493cb21b180fffd65b93bc7ffdfae28e9eda01bfdb7bf57cf75e8616378038b43f178.out
32.6901:    Cache used /opt/pwscf_cache/ad45e755b62868b29b9de440101ff3ae179fc302dda6ecce9374fc233879d54bfc4840a2cb82b6d0b5dcc28c26e9dbd91b063caafbb1b100477578cc271b372e.out
33.5798:    Cache used /opt/pwscf_cache/9982240f302485e348c431ba431e5687c1ec4f57e38cb817b18025ed85a479274586d5226497d3fb1a910c357e13af052d46aa5cba604c2a6230f0cf720bf2e7.out
34.1791:    Cache used /opt/pwscf_cache/3a621a4dd1f23853ec00bc1a810ba557575f24d39369e23e37a6eb25d89191bbf3d2b0c831fb7618db7944c4ee37d7cc2c62c5db575a176ffd49070cabe68dbf.out
34.7993:    Cache used /opt/pwscf_cache/76ff99470a78db5058a7bdcc9b347dc8b128825e73e8e7ecc531980ee9859abca17a158b8ef7f853dbf151fea701d0caa8748618dd569312f95cafb69adac6c6.out
35.732:     Cache used /opt/pwscf_cache/205258236d6f5f4cea82a982d87dcb853f9c4707d462eaa4e765f76c59439a0b865505f9056a63d96cee95d64c3153f02d5bd36e53ef2b2332a8adf9391d4294.out
36.0329:    Cache used /opt/pwscf_cache/fa34adf698b96a359e7d1b8ab7fc8838df6a811848fb8d6a9991ab913bd5194db3393ff286ef1e00675aedede5288e96b5ab9d33400ece17fde17cd5dc4e93e5.out
36.3688:    Cache used /opt/pwscf_cache/48e73998b7d1f70f4786e7b5b96add1797df562cd7a1de9c23088e6074f734e971b64b8c2b462befea5eaba5d9fbbcde8d1f498d8a36cb7b0d1b63000c4ee448.out
36.7246:    Cache used /opt/pwscf_cache/839ce4443dcd2c2b0702fa50204de84d4bbf95ef7fd59322d5dcff40c1340f1346f900f72b6d48e3aa70c14e7e2845fcdd0d1eeda7bcbfba409611d7421eabf0.out
37.1204:    Cache used /opt/pwscf_cache/68644ea5a5bdfd78f4ee505797bd347d9c8731ab4dd1ea90a91957b0fc4ab3e9dc41c09b41bd2992c43ad8f6ab154c8c20e66912a1020bf5b596d9c01c1f91e1.out
37.5061:    Cache used /opt/pwscf_cache/60f84f7629b925cad56a2710bd60c92c9caae663f91a9b3d5eb06ad7440e067456c4da3703425effa79665fc7251d0b4b013b5031b76892943819c310a514c7e.out
38.2129:    Cache used /opt/pwscf_cache/2300456b7769b1879b7bec8737321199364b8c98ce78e3ff08723c0c0fb32442d6c02d497f3c6486ef57260657ab9bfb30d816d41d22de0848cc76f4bda576e4.out
38.5857:    Cache used /opt/pwscf_cache/53612269fffecb8b7be8bcff15f6031dedd2695bd78303f24e87a7e3ce2334c106c0da3f582d824346759f3c1c75cf16c559d5f36aafdaedf8f7c40a179bed48.out
39.0062:    Cache used /opt/pwscf_cache/5dc75c7d2abb82b9d4506f5394bbca5d4be6512368011479749ddbe52f10c9a38dd1cfae1ed33895ea49f4c84594c1458c9e81169af6f4aba8b2c45232b9c4ab.out
39.4451:    Cache used /opt/pwscf_cache/3d01127fa793c34e74d69ac4e984c837121c6d5ff476c99470e9c5450b72b9f45326f60de13655350c32065b9984fa835f5c480490d73dcad221ac9c11a6a680.out
39.907:     Cache used /opt/pwscf_cache/e662069b0c2d2ad56ada9f091073b03af126f27e69d68eb7563637d1848652be9be5f1e0790c92c69b9d06731a83c95f5f28437dace5c22ee0464b0e5ba500bc.out
40.6908:    Cache used /opt/pwscf_cache/a88179064031a13301055a27e768b615f48cbeaf6de34f1d0a57aefc9b3c359afe9a192c75c91f0b16fc95b9725aeba0b413b6bfdec64991f2c271c6a7fd883f.out
41.1525:    Cache used /opt/pwscf_cache/ddfd4daf52d5692d85f7e42ab39155c0afd5f25490ee04b4acdf0c9d5ff1ca160479b2bf57ab62cf1807b4efe8a7b3296a415f8e5926971f6e85084d31cf4000.out
42.0927:    Cache used /opt/pwscf_cache/dc7a260b131be9d0a5b2e2c9c52aa83fb492eb7b1dd21dd2cbc2ee416de41974fedbc3ab472079dc90a4beb392502eafe9401fd5b9c58527aa013ac3895f7f80.out
42.6022:    Cache used /opt/pwscf_cache/739cb4bf5a0756ac0527bdda5b32360948cb9a73c7e2201915224512211bd5e808f8bb3edf39c4058d511b7ab2ca8ba1804173c0829e9f26d81951f4ea033a75.out
43.4636:    Cache used /opt/pwscf_cache/1f04aa710393b730faf39f7ed2cdf25ec497660452026129e0835a5b17349afd968ea8f7939861bd00d0e7c4f0da13060b01eff901b8035a2a7cc515f9232241.out
43.9752:    Cache used /opt/pwscf_cache/d1c979f1f1506811a7dc6fd4a7356526aa952bc0b9c9e7fb8ce41ddbf8a262b31e5226db6437a62f8411c1dcc9a340f907f7f34468ecfb71ef6fc57a631a8b80.out
44.5204:    Cache used /opt/pwscf_cache/4da1b626d47b298c0420009d9486ff0a0d69e4dc65da06664e2119147c445a54f33e0974cae180bb016b7b9c5741640581ab8c538672c405aba6e0b5fc03f625.out
45.3774:    Cache used /opt/pwscf_cache/5c25651acfbe1933a4c7ad66ac8c1e9acd73d1b84c0c97a66140c98063cd8c775b950b25f418cfcbff500b6549ad42788dd95b05daab3e50b190e361fae2f4ac.out
45.964:     Cache used /opt/pwscf_cache/78a1b40f38b1f61258c66d67687cc188460790cca2f0fc9a764fa13579dfc125e3e761519ab0fa6ab86bd11123c1571edc8e689b32f6c03b7a661da08175a1a0.out
46.4264:    Cache used /opt/pwscf_cache/c2540e75f192ad23725a44c5a933d6323edc14d6fcace271ec6879c5403d2bad96eba89817bdb4b55da068d096a81565276008da0aaa504e3bff21fa0373bb2b.out
46.8827:    Cache used /opt/pwscf_cache/fa2ee8471ecaffe14cd93ce8d7c09c633e359559519796b96cf8708cdd912580e36b0dac46a451528170c84cde7aabbc5816bf7999dd139d75ba0f56fe4c309c.out
47.6723:    Cache used /opt/pwscf_cache/7e80a787ef3de4da126d17dc72e79915646658a0a26a69b3f91ab00179b4e1433e8ae94d1eb27ceded0498a4f6a8c78a374589bcb450a6feb921e8999d5d3c79.out
48.1405:    Cache used /opt/pwscf_cache/752ad94b6a870779016a6bc47ebdaf9c88252be2e776245f909fcc1524b731a01ad562e7e33f6802e0e0fb29693f7cb5120e4bb3cae7c63344aae0d263e1f101.out
48.6805:    Cache used /opt/pwscf_cache/313c451b6ff4eda8812d68cd5b5ba101efcc64f8e022d43e8200f60a40ff1a21e718bd7d71314279dc0f77a391ed12cdf6054d8b796d166516dd524dd5c892e1.out
49.2094:    Cache used /opt/pwscf_cache/a687bc1797140482eb20137378207d1e0d3d56e790d795905ce1671156929070f068d8f9c370e43df32d5b787afea53ecc7a2e8830a4602753fa889a01786096.out
50.0717:    Cache used /opt/pwscf_cache/d1784595238bd0e9644adc729f508d883354ee045e4456fe950d055ab8bd8eba79342753eb55747993e74e3fadd73fb88748ff6ef7da7efcc5586aa4c928dc7f.out
50.6456:    Cache used /opt/pwscf_cache/f1dd3080a9a2c8907e59ef09135f6e2710b927a18a4a56ecdadb30e7d0179bf710a80985d88e1a4de4ae330edcf535da82d92af4dabc08a764a1692a813a0557.out
51.2296:    Cache used /opt/pwscf_cache/451084f5046b79fcadeec846c9bbca5baa3ad9bac26415cd6183d9f2f4f8aa54800be22075b483461e8597fb7ec6d146b92e7d289409ba59e0b5d2651791204e.out
52.0081:    Cache used /opt/pwscf_cache/82169d3a83066e6d4bb7e4c62b23e9a3fb40741f1f4bab7641de415953ecc043ec79b35d1472368c9ea1716e5160efd279d70e71c3a9ab89336626fac8b8cabd.out
52.4883:    Cache used /opt/pwscf_cache/055ae0f1f419a082008efba5cee3ed90a44c9e4e851c5c06b4c5f24ea01d3f96418ba686c3b5974a1aeacadc623c590fe5c24fc986ed46d9a5dd8cabf680de10.out
52.9675:    Cache used /opt/pwscf_cache/e302d81716d6ad704f6162070a6dec16764f96f52045d7ae2dac206284f52a85044d5706178dce486846e1cfff57c2f062f3117122ec00717172b54c63925fa5.out
53.4248:    Cache used /opt/pwscf_cache/ae49213bbf6c58f2a02078d4f9eb2695b19c35f1a75f8aaf0fd34390f2901ec48b66955c26d49179a66d4877ca43f312755799b90ff2178f31ae3bb9003fb666.out
54.2861:    Cache used /opt/pwscf_cache/2c461d1cb3c3e89d7e5f360c71d86a018a09b40f3bd92cd6e9179ac1d1e668deec3a590612342a55d3efed8d9c3c048974f80d61d2831876b33e5dea2fee3580.out
54.8149:    Cache used /opt/pwscf_cache/99e9d20ad5909ddbebb58ff1a253a3243dfa660af79cd5794a57288887be0b7dd5ae636ab84004e81422eea2aac4d23cbb0ab26424f327d2344c88a5f75e932e.out
55.3833:    Cache used /opt/pwscf_cache/c2f28e9685bf66aebdf39090b50942f09790ad05d124c509a6caae3521ae02f73774a92ab33e38a04b4d61576af3e394dc6ce11a42cd7db7c90d068d273816c9.out
56.2568:    Cache used /opt/pwscf_cache/5fa7c0f99dd1df441e63ceba76bf93767455ad7beae0bc36b1a9f437726e4a579007f6ba3f4e19185a75dc79622799ac713add57db2b7fcb23cbdf3e014017f5.out
56.8434:    Cache used /opt/pwscf_cache/ca03f084e1c7bdc9dece4a796c6ee817fcd987e3df3da9eae365baf85ffc77c560dc5c5adcf61a3115f0ffd4d8ff975215c08f8f9d17c69779db44d2350b889c.out
57.5595:    Cache used /opt/pwscf_cache/cca0d2b50b4a00f8aa8ec1a5c3a7be580c9c46ac1474fa77de202d923c8576a849ea7368e1d4ec200232ba8c1422dc9663fbd646feae0815cdc4e12d1cdcb039.out
57.797:     Cache used /opt/pwscf_cache/9eb83afb921432c990eaa23ecf25cfe1100d3eeef9fc1a3a7bd7f44e8e51ee6d956426aaf2a935c061e8a68e41bd665f79ec12a2077dd5863563a0946ac1a598.out
58.0569:    Cache used /opt/pwscf_cache/f773a777cab751e6297be726b2805d57cb84410dbb1341ee18c0d53a49324c1283e70715ba1885a10d4cb167491988d1087f3486b2b638c20531e8e9afd896af.out
58.3163:    Cache used /opt/pwscf_cache/7b972e1bab855c1c72241337dfe38b070f3936a4a717dabac119326a504818fbb65462e92c29401b645614b2bbc011a14dd019e5e013f4958bc19aa7808ee857.out
58.5721:    Cache used /opt/pwscf_cache/5e86b9a27d6ddbbae60254249abb77e224c15fb31166d46f2769665fcf70cefc529e7a86f8b954584d54631795e418bbfc5db8a79e704c4f7bd2e0571a692b7c.out
58.8493:    Cache used /opt/pwscf_cache/4208f5c7b414cbf8e3e461a6bf6e21efa7f39c6afba024ee8d6c1d27838bccfe4ba40a52aa3941a7f3c0878d447ac2d6af9cde415ff4c77295a65ccc0a0454fe.out
59.1815:    Cache used /opt/pwscf_cache/7eb5430622a589112fa24be050cd7c968faf6670419f8b448a0d2c42846d7f40321851cd864a1c036ddcaa3abd3e420d14dc50317470499a88bcdae9b4b4c61a.out
59.825:     Cache used /opt/pwscf_cache/614187eafba578cd56b7610675c30c89e0cc976a75ced8088dfcbe3057449cbd31500aea2b29dcdf444229c4022f313f5613a711cf5c1b4c51e30a01af80843c.out
60.1684:    Cache used /opt/pwscf_cache/d687a5c50522163e53e620656432f7905fc8c58665be41e4362a865b711e32a19439edf99766822f9d13d297b10f878016d9f501d3e19a6dec74f3cccb2e50dc.out
60.5235:    Cache used /opt/pwscf_cache/7eec63386b4253f0cddfca047d181e5b05e4e7fa0148e6fa3975fdaed2fe13a38675fe87ebac928b55853be50dddc39846fa409b5e098c6b66efbaf1d5ff2976.out
60.8735:    Cache used /opt/pwscf_cache/285c5e77cbf702397ab1f0483a673ce03f1a635be34fa0d040a5f84509f906c6b243bf181def034fec4ebb2d890553a313eb542f5b04aef2d05e5e070f7ba130.out
61.2587:    Cache used /opt/pwscf_cache/e54888d0f9afb7f616c5e32110e4ebd65cbffdccb5f3826f27424dbc217f73232bd06f514471aa305f89a1b3fb22774ce3f8c957aa725ce188bebd39eb5b49bd.out
61.6747:    Cache used /opt/pwscf_cache/70c42c9cd14bea7cae512cde8b9dd1ca78e192e4495842821664b3606d0b28e9f23c1e85961f856f271660c2c9f4d50c3c4c4b303591c7115a48a92430144d68.out
62.4184:    Cache used /opt/pwscf_cache/eaf87b43744c5fd0f7ee0d536a5498b9bb1abfa760cb813db4fc5555dd86214ae022785b08f8ecd47ef7aae67645fd0ef98d5233b46dbacfd66b5a5aa55304b9.out
62.8572:    Cache used /opt/pwscf_cache/d6f463320de9cb3c17168beb0eda40cada83bc90e5cd8c0ed35f62c04512cf1486c5fffbf95844c135a94855088d4bac008ebc91004ba3cb153791842a9d5729.out
63.2907:    Cache used /opt/pwscf_cache/20f4fdd39de8c8b40428385a8ba1addfdf510b1a7d5f748fc23566ece32c586df9ae4a4a176431e07275174b1b13f456f956536d76ba2cd66806921560b78d24.out
63.7248:    Cache used /opt/pwscf_cache/9526e767c65464e485d61236333cb6a0e2221f878eae1bad4b6a850317ef632703f9fa410a7f2093afee8b2b88d5fa8c221c40a09eebeddb5c4ebb8b9b564c00.out
64.5667:    Cache used /opt/pwscf_cache/f1bd7e50c06356140046194eab03ff570178c223407f7052c2e70caaab4a73004887b1b0386b8e5783b39651a7b3b6cb9d88be4119dafe5c91c20cb82ffb74c0.out
65.1003:    Cache used /opt/pwscf_cache/1311a0b1d6bb1a15665bf97b8b161080f23fb09c86999e15fbe9c461fe26f27f19d0fee87d68132c0d9e5d949aaca933f6ecf00353a03717a449bb5f7f4be396.out
65.6227:    Cache used /opt/pwscf_cache/62b80a617a632d3be17cc159fad7b98ecbbe6062ef39d6c2a07b75f97d98380753c3edcb60d3a77ff2d9ce63b4e54c99f1f38de6d6ecccbcd5f3f09e2297eb77.out
66.1976:    Cache used /opt/pwscf_cache/231ef7c5524b5bbecba56da97d126dd5cdcd0b35a57ee72b2b65983b23f3165ce3d977287cc9978e9922f8a42679828b32e7c78fa73e63a35587af2882555f30.out
67.0708:    Cache used /opt/pwscf_cache/5610399f61e5646b7f1315e37eb0b5394ba3cbc29f0d483ade5308bf0641bddc99bf9424e82ad648c6c01965cb228b06342af33e9cf57c44c62e0ecafe0072a3.out
67.5869:    Cache used /opt/pwscf_cache/90fcb2ed07681194ce43560240197636d699b1e3f766f9e5be69f08de9d1e3de227a1220d7ce9730cb904fad11017730c7d394d73fabdbe9c213ef4358159113.out
68.1479:    Cache used /opt/pwscf_cache/4638cb5f0873dd6ac5eb5b5c6067be8dfa94965855cc601a541bea8838b30a903ab1d823de8fb6c8b319e436cd2f0d953f1de59d95b2ab187703a59dadc36600.out
68.9916:    Cache used /opt/pwscf_cache/228bc941749eeded1165b79653db8341f98c06c8e991906f75c15b63acead12ee3d8e11cb9278417e1f6fd8c20174a6b84d3cac963c0ca9948f8a4d101e878e3.out
69.5326:    Cache used /opt/pwscf_cache/d9c26b7212f94071d18a70d0a708ff7ce5ad13b09fd7f45ff699fe0d338d359438395948932b14b7f74a2b7e56ebc5226ffc5fd9aa87ca7835171730da1b052b.out
70.1073:    Cache used /opt/pwscf_cache/851e549d5fc89858ff1939ceac79cb1bd7a5fe07b83c9b1fd93308721605fd1b201fbc70483b01b1729763406ab9eb2d38ddd33378931f18b4b557bae1d8575a.out
70.9697:    Cache used /opt/pwscf_cache/6356d966ff5ffd2ca519960357be2b7d70bd4be67bb533e90698ae82be3c641cf22522979a0003e9d55811b7f22abbe8f31da32a2f5bcf2430627b83cfced2e1.out
